,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
803,Vetropack Austria GmbH - Kremsmünster,AT314,-1,POINT (14.140996 48.056271),Glass,Container,,218.5456454,100,glass-container,234141.06265574403,0,0,0,0,0,0,9616.0083976,0,0,0,1033701.2336339141,0,Glass,1351326.732832458,73868.42814520001
804,Stoelzle Oberglas GmbH - Köflach,AT225,-1,POINT (15.07815 47.067036),Glass,Container,,166.7466587,100,glass-container,178645.700264832,0,0,0,0,0,0,7336.8529828,0,0,0,788696.6884517171,0,Glass,1031039.6123399491,56360.37064060001
805,AGC GLASS EUROPE - Mol,BE213,-1,POINT (5.163205 51.192956),Glass,Flat,,168.7504912,100,glass-float,134865.39256704,0,0,0,0,0,0,7425.021612799999,0,0,0,916443.4175893121,0,Glass,1140915.3209835521,82181.48921439999
806,AGC GLASS EUROPE - Moustier-sur-Sambre,BE352,-1,POINT (4.688242 50.448063),Glass,Flat,,756.7568762,100,glass-float,604800.09545904,0,0,0,0,0,0,33297.3025528,0,0,0,4109764.972991912,0,Glass,5116402.969713152,368540.5987093999
807,Gerresheimer Momignies - Momignies,BE32D,-1,POINT (4.153454 50.026928),Glass,Container,,75.2149785,100,glass-container,80582.31936576002,0,0,0,0,0,0,3309.459054,0,0,0,355760.07895693503,0,Glass,465074.52010969503,25422.662733
808,3B-Fibreglass - Battice,BE335,-1,POINT (5.79606 50.654244),Glass,Glass Fibre,,148.8653382,100,glass-fibre,321549.13051200006,0,0,0,0,0,0,6550.0748808,0,0,0,1078100.6430849838,0,Glass,1500580.4728965838,94380.6244188
809,MD Verre - Ghlin,BE323,-1,POINT (3.883942 50.479579),Glass,Container,,202.459754,100,glass-container,216907.28204544002,0,0,0,0,0,0,8908.229175999999,0,0,0,957616.41504214,0,Glass,1251863.32311558,68431.396852
810,Durobor Glassware - Soignies,BE32C,-1,POINT (4.076773 50.568841),Glass,Container,,49.75585775,100,glass-container,53306.435759039996,0,0,0,0,0,0,2189.2577409999994,0,0,0,235340.7291303025,0,Glass,307653.9025498425,16817.479919499998
811,Pasabahce Bulgaria EAD - Targovishte,BG334,-1,POINT (26.522355 43.266412),Glass,Container,,155.0761591,100,glass-container,166142.39381337602,0,0,0,0,0,0,6823.3510004,0,0,0,733496.275688681,0,Glass,958877.762278257,52415.74177580001
812,Rubin Trading AD - Pleven,BG314,-1,POINT (24.565601 43.43977),Glass,Container,,125.1491518,100,glass-container,134079.79527244798,0,0,0,0,0,0,5506.5626792,0,0,0,591944.2245903381,0,Glass,773830.995850386,42300.413308400006
813,“Trakya Glass Bulgaria” EAD - Targovichte,BG334,-1,POINT (26.522355 43.266412),Glass,Flat,,558.0270138,100,glass-float,445975.18942896,0,0,0,0,0,0,24553.188607199994,0,0,0,3030510.785464488,0,Glass,3772798.319221248,271759.1557205999
814,BA Glass Bulgaria SA - Plovdiv,BG421,-1,POINT (24.7394 42.171),Glass,Container,,379.619538,100,glass-container,406709.18823168,0,0,0,0,0,0,16703.259671999996,0,0,0,1795566.24898158,0,Glass,2347290.1007292597,128311.40384400001
815,BA Glass Bulgaria SA - Sofia,BG411,-1,POINT (23.326994 42.73236),Glass,Container,,122.9010432,100,glass-container,131671.26164275204,0,0,0,0,0,0,5407.645900799999,0,0,0,581310.8732421121,0,Glass,759930.3333872643,41540.55260160001
816,Novo Staklo EAD - Novi Pazar,BG333,-1,POINT (27.189099 43.340716),Glass,Container,,75.4282905,100,glass-container,80810.85331008001,0,0,0,0,0,0,3318.8447819999997,0,0,0,356769.025518855,0,Glass,466393.48579993506,25494.762189000005
817,"Crystalex CZ, s.r.o. - Nový Bor",CZ051,-1,POINT (14.543017 50.764499),Glass,Container,,34.25490784,100,glass-container,36699.338063462405,0,0,0,0,0,0,1507.21594496,0,0,0,162022.63114149444,0,Glass,211807.34399983686,11578.15884992
818,"O-I Czech Republic, a.s. - Nové Sedlo",CZ041,-1,POINT (12.738358 50.212257),Glass,Container,,180.7935873,100,glass-container,193695.01768972803,0,0,0,0,0,0,7954.9178412,0,0,0,855137.396506143,0,Glass,1117895.564544471,61108.23250740001
819,"O-I Czech Republic, a.s. - Dubí - Bystřice",CZ042,17,POINT (13.795043 50.666398),Glass,Container,,93.70479619,100,glass-container,100391.5704461184,0,0,0,0,0,0,4123.01103236,0,0,0,443215.2525470429,0,Glass,579402.0551377413,31672.221112220002
820,"SKLÁRNY MORAVIA, a.s. - Úsobrno, okres Blansko",CZ064,-1,POINT (16.766361 49.582267),Glass,Container,,42.19328067,100,glass-container,45204.1931786112,0,0,0,0,0,0,1856.50434948,0,0,0,199570.42017383972,0,Glass,260892.44656839094,14261.32886646
821,"AGC Flat Glass Czech a.s., člen AGC Group - Teplice",CZ042,17,POINT (13.801118 50.640541),Glass,Flat,,366.7495088,100,glass-float,293106.20743296,0,0,0,0,0,0,16136.978387199999,0,0,0,1991728.562410688,0,Glass,2479578.759016448,178607.0107856
822,"AGC Flat Glass Czech a.s., člen AGC Group - Dubí - Pozorka",CZ042,17,POINT (13.799908 50.658685),Glass,Flat,,44.46905697,100,glass-float,35539.670330424,0,0,0,0,0,0,1956.6385066799999,0,0,0,241500.7758303972,0,Glass,300653.5154118912,21656.430744389996
823,SAINT-GOBAIN ADFORS CZ s.r.o. - Litomyšl,CZ053,-1,POINT (16.291289 49.880512),Glass,Glass Fibre,,120.3919082,100,glass-fibre,260046.52171200002,0,0,0,0,0,0,5297.2439607999995,0,0,0,871892.646213384,0,Glass,1213564.881684984,76328.4697988
824,CRYSTALITE BOHEMIA a.s. - Světlá nad Sázavou,CZ063,-1,POINT (15.414885 49.666952),Glass,Container,,55.98106856,100,glass-container,59975.8776124416,0,0,0,0,0,0,2463.16701664,0,0,0,264785.4159926296,0,Glass,346146.0617949912,18921.60117328
825,"Crystal BOHEMIA, a.s. - Poděbrady",CZ020,-1,POINT (15.127222 50.145),Glass,Container,,20.88541146,100,glass-container,22375.794421785602,0,0,0,0,0,0,918.9581042399999,0,0,0,98786.11651876861,0,Glass,129140.1381182742,7059.269073480001
826,"VETROPACK MORAVIA GLASS, akciová společnost - Kyjov",CZ064,-1,POINT (17.128882 49.00421),Glass,Container,,252.6355698,100,glass-container,270663.644060928,0,0,0,0,0,0,11115.9650712,0,0,0,1194943.507952718,0,Glass,1562113.9396772461,85390.82259240001
